,DROPDOWNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tab,Brief,Ad Types,,,,Call to Action List,,,,,,,,,,,,,,,,,,UTM,,,,,,,
,Stages,Platform,Ad Types,Specifications,Google,Facebook/Instagram,Facebook Lead Gen,Facebook App Install,Lead Gen Form Thank You,LinkedIn,Yahoo,Yahoo (Countdown),Twitter,TikTok,TikTok (Lead Gen Form),SnapChat,Hotstar,Spotify,WeChat,Wagawin,Grab,Programmatic,,PROGRAM,PROGRAM UTM,COUNTRIES,CHANNEL,UTM SOURCES,ADS PLATFORMS,STAGES IN THE FUNNEL,KEYWORDS TYPE
,,LinkedIn,LinkedIn Image Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/single-image-ads,,,,,,,Vote Now,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Image Lead Gen Ads,https://www.linkedin.com/help/lms/answer/a426534/single-image-ads-advertising-specifications?lang=en,,,,,,,Watch More,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Video Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/single-image-ads,,,,,,,Watch Now,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Video Lead Gen Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/video-ads,,,,,,,Switch Now,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Carousel Ads,https://www.linkedin.com/help/linkedin/answer/a427022/carousel-ads-advertising-specifications?lang=en,,,,,,,Launch AR,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Document Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/document-ads,,,,,,,3D Camera,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Boosted Posts,"https://business.linkedin.com/marketing-solutions/success/best-practices/sponsored-content-tips#:~:text=An%20image%20size%20of%201200,(click%2Dthrough%20rates).&text=Feature%20a%20clear%20CTA%20(call,to%20act%20on%20their%20interest.&text=Use%20Sponsored%20Content%20ad%20specs,to%20guide%20your%20ad%20creation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Message Ads,https://www.linkedin.com/help/lms/answer/a425533/message-ads-advertising-specifications?lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Conversation Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/conversation-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Text Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/text-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Spotlight Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/spotlight-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Follower Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/follower-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LinkedIn Event Ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/event-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Twitter,Twitter Text Ads,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Standalone Image Ads,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Image Ads with App Buttons,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Image Ads with Conversation Buttons,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Image Ads with Website Buttons,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Image Ads with Polls,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Standalone Video Ads,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Video Ads with App Buttons,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Video Ads with Conversation Buttons,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Video Ads with Website Buttons,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Video Ads with Polls,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Image App Carousel Ads,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Image Website Carousel Ads,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Video App Carousel Ads,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Video Website Carousel Ads,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitter Moment Ads,https://business.twitter.com/en/help/campaign-setup/creative-ad-specifications.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TikTok,TikTok Image Ads ,https://ads.tiktok.com/help/article/image-ads-specification?lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TikTok Video Ads,https://ads.tiktok.com/help/article/video-ads-specifications?lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TikTok Image Lead Gen Ads,https://ads.tiktok.com/help/article/build-instant-form?lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TikTok Video Lead Gen Ads,https://ads.tiktok.com/help/article/build-instant-form?lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TikTok Spark Ads,https://ads.tiktok.com/help/article/spark-ads?lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TikTok Playable Ads,https://ads.tiktok.com/help/article/playable-ads?lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TikTok Video Shopping Ads,https://ads.tiktok.com/help/article/getting-started-video-shopping-ads?lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SnapChat,SnapChat Single Image Ads,https://forbusiness.snapchat.com/advertising/ad-formats/single-image-or-video-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SnapChat Single Video Ads,https://forbusiness.snapchat.com/advertising/ad-formats/single-image-or-video-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SnapChat Collection Image Ads,https://forbusiness.snapchat.com/advertising/ad-formats/collection-ads,,,,,,,,,,,,,,,,,,,,,,,,,,,
